DATE,TIME PERIOD,Austria,Belgium,Cyprus,Germany,Estonia,Spain,Finland,France,Greece,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Portugal,Slovenia,Slovakia
2010-01-31,2010Jan,145669.0,254893.469,5546.0,931459.0,12.0,374322.0,49519.0,943196.0,270270.0,0.0,77515.427,1271427.018,,2000.0,,3224.184,205976.53,102264.5,12468.353,20068.094
2010-02-28,2010Feb,146781.0,258960.556,6490.0,949851.0,12.0,383281.0,49518.0,958767.0,278324.0,0.0,79608.311,1282065.375,,2000.0,,3262.164,216080.14,104210.0,12469.281,18616.318
2010-03-31,2010Mar,148439.0,254886.877,6485.0,953138.0,12.0,394371.0,53518.0,980310.0,283171.0,0.0,80863.334,1287373.679,,2000.0,,3262.164,220613.81,105806.23,12601.891,19094.718
2010-04-30,2010Apr,150939.0,258720.608,6478.0,958974.0,12.0,398341.0,55018.0,982405.0,279701.0,0.0,81518.509,1299168.421,,2000.0,,3262.164,224756.61,107664.73,12559.05,20300.218
2010-05-31,2010May,153279.0,258603.077,6459.0,976871.0,12.0,404910.0,55020.0,1001023.0,271158.0,0.0,83267.92,1316870.08,,4000.0,,3412.3,233917.28,103822.29,12560.086,20644.229
2010-06-30,2010Jun,155150.0,262295.353,6376.0,974975.0,12.0,413038.0,56520.0,1017032.0,271242.0,0.0,84747.103,1309194.042,,4000.0,,3369.637,239251.28,106525.92,12562.686,
2010-07-31,2010Jul,156510.0,269936.718,6358.0,975341.0,12.0,410429.0,56520.0,1011101.0,271235.0,0.0,86578.149,1331892.376,,4000.0,,3368.368,231775.76,108108.66,12558.064,
2010-08-31,2010Aug,157465.0,273496.267,6357.0,988787.0,12.0,413929.0,56495.0,1008417.0,271235.0,0.0,88110.659,1334100.779,,4000.0,,3547.613,231893.64,110872.06,12559.023,
2010-09-30,2010Sep,159517.0,260804.461,6341.0,989903.0,12.0,421240.0,55486.0,1014027.0,270505.0,0.0,89609.196,1332432.339,,4000.0,,3547.613,234693.34,113832.97,12560.286,21352.547
2010-10-31,2010Oct,161057.0,264022.194,6340.0,991248.0,12.0,429483.0,55106.0,1017455.0,270536.0,0.0,89580.51,1355497.185,,4000.0,,3547.613,237508.34,113832.97,12559.007,23627.047
2010-11-30,2010Nov,162157.0,264034.418,7340.0,1071642.0,12.0,436524.0,56606.0,1034500.0,270508.0,0.0,89882.415,1355828.29,,4000.0,,3611.457,240481.54,116348.37,12559.663,23748.047
2010-12-31,2010Dec,162157.0,265943.518,7339.0,1060566.0,12.0,441543.0,56606.0,1038996.0,272731.0,0.0,90102.309,1347341.604,,4000.0,,3611.457,240481.16,120647.31,12560.804,23645.515
2011-01-31,2011Jan,157889.0,268787.831,7275.0,1063296.0,12.0,452383.0,58106.0,1043287.0,279025.0,0.0,90084.629,1372694.29,,4000.0,1502.134,3611.457,232606.16,122195.8,13723.609,23595.147
2011-02-28,2011Feb,159564.0,271782.831,6907.0,1068321.0,12.0,464372.0,56433.0,1063097.0,279375.0,0.0,89992.634,1372491.597,,4000.0,1527.324,3718.065,234376.07,125530.78,13686.004,24939.247
2011-03-31,2011Mar,160918.0,268920.241,6932.0,1073796.0,12.0,478317.0,56433.0,1081852.0,270753.0,0.0,89807.103,1362294.774,,4000.0,1530.655,3718.065,244120.06,126321.78,15187.231,24932.978
