Month,optimal_sub,EL_sen_optimal,EL_jun_optimal,EL_sen_30,EL_jun_30,EL_pool,EL_germany,safe_asset_multiplier_optimal,safe_asset_multiplier_30,PoolLoss_p99,EL_sen_00,EL_sen_10,EL_sen_20,EL_sen_40,EL_sen_50,EL_sen_60,EL_sen_70
2010-01-31,0.660000,0.004909,0.245043,0.093419,0.326682,0.163398,0.129357,1.251727,2.577086,0.732196,0.163398,0.139976,0.119290,0.061582,0.033944,0.011560,0.001226
2010-02-28,0.710000,0.003919,0.251068,0.112090,0.336439,0.179395,0.137761,1.067650,2.577086,0.732196,0.179395,0.154718,0.135568,0.080855,0.050889,0.016697,0.005468
2010-03-31,0.720000,0.003417,0.273589,0.134257,0.346536,0.197941,0.362786,1.030834,2.577086,0.747018,0.197941,0.173037,0.155070,0.106672,0.068058,0.017262,0.006494
2010-04-30,0.720000,0.003440,0.273815,0.134445,0.346662,0.198110,0.396414,1.030834,2.577086,0.747018,0.198110,0.173250,0.155262,0.106861,0.068247,0.017486,0.006562
2010-05-31,0.720000,0.003440,0.273078,0.134049,0.345817,0.197580,0.409370,1.005692,2.514230,0.746944,0.197580,0.172902,0.154859,0.106507,0.067955,0.017315,0.006523
2010-06-30,0.720000,0.003512,0.274333,0.134741,0.347282,0.198503,0.407975,1.001086,2.502715,0.746940,0.198503,0.173754,0.155631,0.107100,0.068408,0.017554,0.006632
2010-07-31,0.720000,0.003906,0.273780,0.134677,0.346472,0.198215,0.416503,1.001103,2.502759,0.746940,0.198215,0.173469,0.155416,0.107233,0.068819,0.017690,0.006969
2010-08-31,0.720000,0.003550,0.272783,0.133909,0.345538,0.197398,0.410922,1.001066,2.502664,0.746940,0.197398,0.172696,0.154658,0.106458,0.068032,0.017404,0.006629
2010-09-30,0.720000,0.003429,0.273846,0.134418,0.346788,0.198129,0.399293,1.005692,2.514230,0.746944,0.198129,0.173330,0.155257,0.106824,0.068199,0.017526,0.006562
2010-10-31,0.710000,0.004908,0.277756,0.134846,0.347460,0.198630,0.311038,1.041610,2.514230,0.746944,0.198630,0.174018,0.155829,0.107064,0.068175,0.017286,0.006408
2010-11-30,0.710000,0.004899,0.276334,0.134158,0.345693,0.197618,0.311939,1.020310,2.462816,0.746880,0.197618,0.173216,0.155046,0.106529,0.067856,0.017435,0.006419
2010-12-31,0.710000,0.004695,0.275680,0.133643,0.345147,0.197094,0.311446,1.020310,2.462816,0.746880,0.197094,0.172706,0.154548,0.105995,0.067296,0.017013,0.006188
2011-01-31,0.710000,0.004186,0.275164,0.132937,0.345082,0.196581,0.311051,1.023348,2.470149,0.745491,0.196581,0.172169,0.153947,0.105128,0.066202,0.016747,0.005708
2011-02-28,0.710000,0.004377,0.275698,0.133313,0.345653,0.197015,0.312500,1.023348,2.470149,0.745491,0.197015,0.172583,0.154331,0.105506,0.066582,0.016820,0.005886
2011-03-31,0.660000,0.004709,0.250108,0.095059,0.333769,0.166672,0.292543,1.199787,2.470149,0.696136,0.166672,0.142246,0.120764,0.060890,0.032037,0.011485,0.001133
