Month,optimal_sub,EL_sen_optimal,EL_jun_optimal,EL_sen_30,EL_jun_30,EL_pool,EL_germany,safe_asset_multiplier_optimal,safe_asset_multiplier_30,PoolLoss_p99,EL_sen_00,EL_sen_10,EL_sen_20,EL_sen_40,EL_sen_50,EL_sen_60,EL_sen_70
2010-01-31,0.720000,0.004152,0.246478,0.110958,0.336520,0.178627,0.129357,1.030834,2.577086,0.750000,0.178627,0.155792,0.134953,0.079710,0.051212,0.017428,0.006883
2010-02-28,0.720000,0.004584,0.257422,0.116726,0.349732,0.186627,0.137761,1.030834,2.577086,0.750000,0.186627,0.161626,0.140219,0.086039,0.055631,0.018138,0.007596
2010-03-31,0.730000,0.003415,0.281417,0.139046,0.363415,0.206357,0.362786,0.994019,2.577086,0.750000,0.206357,0.181470,0.160254,0.111966,0.074208,0.018543,0.008070
2010-04-30,0.730000,0.003485,0.281701,0.139221,0.363761,0.206583,0.396414,0.994019,2.577086,0.750000,0.206583,0.181664,0.160417,0.112172,0.074449,0.018639,0.008148
2010-05-31,0.730000,0.003498,0.280608,0.138861,0.361951,0.205788,0.409370,0.969774,2.514230,0.750000,0.205788,0.181010,0.159959,0.111898,0.074286,0.018652,0.008161
2010-06-30,0.730000,0.003481,0.280723,0.139021,0.361843,0.205868,0.407975,0.965333,2.502715,0.750000,0.205868,0.181192,0.160148,0.112002,0.074318,0.018574,0.008125
2010-07-31,0.730000,0.003514,0.280544,0.138979,0.361536,0.205746,0.416503,0.965350,2.502759,0.750000,0.205746,0.181085,0.160078,0.111968,0.074290,0.018483,0.008120
2010-08-31,0.730000,0.003503,0.280557,0.138921,0.361693,0.205752,0.410922,0.965313,2.502664,0.750000,0.205752,0.181037,0.160021,0.111952,0.074338,0.018685,0.008175
2010-09-30,0.730000,0.003470,0.280344,0.138776,0.361483,0.205588,0.399293,0.969774,2.514230,0.750000,0.205588,0.180904,0.159873,0.111800,0.074172,0.018527,0.008103
2010-10-31,0.730000,0.003390,0.280077,0.138761,0.360796,0.205372,0.311038,0.969774,2.514230,0.750000,0.205372,0.180905,0.159903,0.111733,0.074043,0.018511,0.008043
2010-11-30,0.730000,0.003403,0.280079,0.138990,0.360277,0.205376,0.311939,0.949943,2.462816,0.750000,0.205376,0.181035,0.160122,0.111936,0.074194,0.018620,0.008085
2010-12-31,0.730000,0.003368,0.278792,0.138225,0.358899,0.204427,0.311446,0.949943,2.462816,0.750000,0.204427,0.180135,0.159257,0.111308,0.073759,0.018490,0.008021
