Month,optimal_sub,EL_sen_optimal,EL_jun_optimal,EL_sen_30,EL_jun_30,EL_pool,EL_germany,safe_asset_multiplier_optimal,safe_asset_multiplier_30,PoolLoss_p99,EL_sen_00,EL_sen_10,EL_sen_20,EL_sen_40,EL_sen_50,EL_sen_60,EL_sen_70
2010-01-31,0.660000,0.004984,0.244368,0.093260,0.325652,0.162978,0.129357,1.251727,2.577086,0.732196,0.162978,0.139663,0.119047,0.061542,0.034085,0.011733,0.001245
2010-02-28,0.710000,0.003891,0.251094,0.111993,0.336701,0.179405,0.137761,1.067650,2.577086,0.732196,0.179405,0.154676,0.135503,0.080716,0.050744,0.016576,0.005429
2010-03-31,0.720000,0.003417,0.274347,0.134652,0.347433,0.198486,0.362786,1.030834,2.577086,0.747018,0.198486,0.173566,0.155532,0.106978,0.068238,0.017286,0.006499
2010-04-30,0.720000,0.003417,0.273945,0.134470,0.346892,0.198197,0.396414,1.030834,2.577086,0.747018,0.198197,0.173299,0.155308,0.106851,0.068187,0.017360,0.006516
2010-05-31,0.720000,0.003447,0.274416,0.134732,0.347442,0.198545,0.409370,1.005692,2.514230,0.746944,0.198545,0.173773,0.155644,0.107048,0.068300,0.017400,0.006548
2010-06-30,0.720000,0.003501,0.274022,0.134506,0.347072,0.198276,0.407975,1.001086,2.502715,0.746940,0.198276,0.173491,0.155366,0.106901,0.068262,0.017476,0.006606
2010-07-31,0.720000,0.003930,0.274071,0.134913,0.346640,0.198431,0.416503,1.001103,2.502759,0.746940,0.198431,0.173733,0.155685,0.107429,0.068956,0.017769,0.007005
2010-08-31,0.720000,0.003550,0.273924,0.134483,0.346937,0.198219,0.410922,1.001066,2.502664,0.746940,0.198219,0.173436,0.155329,0.106896,0.068281,0.017415,0.006631
2010-09-30,0.710000,0.004935,0.276263,0.133812,0.346364,0.197578,0.399293,1.041610,2.514230,0.746944,0.197578,0.172744,0.154635,0.106263,0.067698,0.017124,0.006412
2010-10-31,0.710000,0.004827,0.275247,0.133471,0.344652,0.196825,0.311038,1.041610,2.514230,0.746944,0.196825,0.172291,0.154262,0.105944,0.067412,0.017009,0.006304
2010-11-30,0.710000,0.004808,0.276203,0.134016,0.345625,0.197499,0.311939,1.020310,2.462816,0.746880,0.197499,0.173099,0.154930,0.106345,0.067614,0.017137,0.006303
2010-12-31,0.710000,0.004713,0.276076,0.133937,0.345417,0.197381,0.311446,1.020310,2.462816,0.746880,0.197381,0.173039,0.154870,0.106235,0.067461,0.017089,0.006214
2011-01-31,0.710000,0.004158,0.275804,0.133150,0.346071,0.197027,0.311051,1.023348,2.470149,0.745491,0.197027,0.172559,0.154240,0.105259,0.066219,0.016625,0.005669
2011-02-28,0.710000,0.004408,0.275009,0.132960,0.344876,0.196535,0.312500,1.023348,2.470149,0.745491,0.196535,0.172093,0.153899,0.105256,0.066480,0.016903,0.005922
2011-03-31,0.660000,0.004749,0.250115,0.095138,0.333648,0.166691,0.292543,1.199787,2.470149,0.729986,0.166691,0.142288,0.120831,0.060979,0.032127,0.011544,0.001166
