Month,optimal_sub,EL_sen_optimal,EL_jun_optimal,EL_sen_30,EL_jun_30,EL_pool,EL_germany,safe_asset_multiplier_optimal,safe_asset_multiplier_30,PoolLoss_p99,kappa_used,crisis_mean_rho,base_mean_rho,p90_offdiag_base,p90_offdiag_crisis,EL_sen_00,EL_sen_10,EL_sen_20,EL_sen_40,EL_sen_50,EL_sen_60,EL_sen_70
2010-01-31,0.680000,0.004157,0.268412,0.120495,0.331681,0.183851,0.129357,1.178096,2.577086,0.732196,2.000000,0.000000,0.000000,0.000000,0.000000,0.183851,0.162034,0.143179,0.090486,0.048495,0.013342,0.002611
2010-02-28,0.710000,0.003913,0.272714,0.132943,0.339006,0.194762,0.137761,1.067650,2.577086,0.732196,2.000000,0.000000,0.000000,0.000000,0.000000,0.194762,0.172142,0.154086,0.105102,0.066161,0.016527,0.005442
2010-03-31,0.720000,0.004629,0.275067,0.136025,0.347090,0.199345,0.362786,1.030834,2.577086,0.747018,2.000000,0.000000,0.000000,0.000000,0.000000,0.199345,0.175593,0.156965,0.108623,0.070307,0.018141,0.007632
2010-04-30,0.720000,0.004639,0.275137,0.136134,0.347012,0.199398,0.396414,1.030834,2.577086,0.747018,2.000000,0.000000,0.000000,0.000000,0.000000,0.199398,0.175677,0.157069,0.108738,0.070434,0.018329,0.007681
2010-05-31,0.720000,0.004773,0.274680,0.135990,0.346377,0.199106,0.409370,1.005692,2.514230,0.750000,2.000000,0.000000,0.000000,0.000000,0.000000,0.199106,0.175557,0.156915,0.108656,0.070445,0.018338,0.007788
2010-06-30,0.720000,0.004837,0.275462,0.136423,0.347304,0.199687,0.407975,1.001086,2.502715,0.750000,2.000000,0.000000,0.000000,0.000000,0.000000,0.199687,0.176109,0.157409,0.109019,0.070712,0.018392,0.007849
2010-07-31,0.730000,0.003371,0.272730,0.136987,0.347040,0.200003,0.416503,0.965350,2.502759,0.750000,2.000000,0.000000,0.000000,0.000000,0.000000,0.200003,0.176456,0.157817,0.109787,0.071769,0.018715,0.008092
2010-08-31,0.730000,0.003328,0.272251,0.136446,0.347099,0.199642,0.410922,0.965313,2.502664,0.750000,2.000000,0.000000,0.000000,0.000000,0.000000,0.199642,0.176060,0.157370,0.109129,0.070942,0.018582,0.008022
2010-09-30,0.720000,0.004663,0.275204,0.136064,0.347358,0.199452,0.399293,1.005692,2.514230,0.750000,2.000000,0.000000,0.000000,0.000000,0.000000,0.199452,0.175788,0.157052,0.108652,0.070335,0.018228,0.007677
2010-10-31,0.720000,0.004435,0.274162,0.135463,0.346048,0.198638,0.311038,1.005692,2.514230,0.746944,2.000000,0.000000,0.000000,0.000000,0.000000,0.198638,0.175133,0.156432,0.108059,0.069759,0.017950,0.007438
2010-11-30,0.720000,0.004450,0.274262,0.135592,0.346000,0.198714,0.311939,0.985126,2.462816,0.746880,2.000000,0.000000,0.000000,0.000000,0.000000,0.198714,0.175367,0.156610,0.108173,0.069850,0.018187,0.007502
2010-12-31,0.720000,0.004202,0.273949,0.135293,0.345717,0.198420,0.311446,0.985126,2.462816,0.746880,2.000000,0.000000,0.000000,0.000000,0.000000,0.198420,0.175081,0.156348,0.107794,0.069359,0.017871,0.007240
2011-01-31,0.710000,0.004980,0.276718,0.134324,0.346290,0.197914,0.311051,1.023348,2.470149,0.745491,2.000000,0.000000,0.000000,0.000000,0.000000,0.197914,0.174465,0.155565,0.106580,0.067796,0.017394,0.006485
2011-02-28,0.720000,0.003784,0.274138,0.134937,0.346609,0.198439,0.312500,0.988060,2.470149,0.745491,2.000000,0.000000,0.000000,0.000000,0.000000,0.198439,0.174992,0.156139,0.107239,0.068521,0.017582,0.006850
2011-03-31,0.680000,0.004424,0.268458,0.118782,0.336067,0.183967,0.292543,1.129211,2.470149,0.745491,2.000000,0.000000,0.000000,0.000000,0.000000,0.183967,0.161521,0.141744,0.088531,0.047060,0.013450,0.002655
2011-04-30,0.670000,0.004131,0.243030,0.094662,0.326433,0.164194,0.073269,1.164499,2.470149,0.729986,2.000000,0.000000,0.000000,0.000000,0.000000,0.164194,0.141548,0.120499,0.063968,0.035086,0.012137,0.001881
2011-05-31,0.670000,0.003918,0.243113,0.095676,0.324017,0.164179,0.074853,1.141674,2.421733,0.729586,1.000000,0.695442,0.695442,0.922035,0.922035,0.164179,0.144508,0.122603,0.065511,0.036492,0.011879,0.001861
2011-06-30,0.670000,0.003876,0.242527,0.095198,0.323778,0.163772,0.074473,1.139303,2.416704,0.729543,1.000000,0.751721,0.751721,0.920997,0.920997,0.163772,0.144139,0.122174,0.065119,0.036316,0.011911,0.001839
2011-07-31,0.670000,0.004027,0.241976,0.094752,0.323754,0.163453,0.073332,1.139303,2.416704,0.729543,1.000000,0.752000,0.752000,0.915270,0.915270,0.163453,0.143789,0.121773,0.064760,0.036377,0.011985,0.001934
2011-08-31,0.670000,0.004370,0.243573,0.096080,0.324600,0.164636,0.073903,1.139303,2.416704,0.729543,1.000000,0.750230,0.750230,0.913758,0.913758,0.164636,0.144955,0.123016,0.066053,0.037366,0.012399,0.002133
2011-09-30,0.670000,0.004205,0.242762,0.095730,0.323423,0.164038,0.075044,1.139303,2.416704,0.729543,1.000000,0.726894,0.726894,0.904298,0.904298,0.164038,0.144323,0.122499,0.065828,0.037018,0.012264,0.002035
2011-10-31,0.670000,0.004504,0.238973,0.092135,0.323679,0.161598,0.065727,1.139303,2.416704,0.730838,1.000000,0.696709,0.696709,0.907525,0.907525,0.161598,0.141552,0.119395,0.062295,0.036182,0.012480,0.002187
2011-11-30,0.670000,0.004556,0.239707,0.093199,0.322893,0.162107,0.068642,1.139303,2.416704,0.730838,1.000000,0.672893,0.672893,0.895593,0.895593,0.162107,0.142170,0.120218,0.063367,0.036573,0.012440,0.002229
2011-12-31,0.670000,0.004918,0.244484,0.096845,0.325452,0.165427,0.073839,1.139303,2.416704,0.730838,1.003149,0.660000,0.657928,0.892257,0.895067,0.165427,0.145527,0.123690,0.066781,0.038393,0.012880,0.002448
2012-01-31,0.680000,0.004374,0.245548,0.101539,0.324316,0.168372,0.082332,1.100503,2.407350,0.730652,1.002349,0.660000,0.658454,0.896718,0.898824,0.168372,0.148970,0.127681,0.071627,0.041058,0.013497,0.002855
2012-02-29,0.680000,0.004400,0.244959,0.100386,0.325698,0.167980,0.079670,1.100503,2.407350,0.730652,1.002173,0.660000,0.658569,0.898702,0.900654,0.167980,0.148455,0.126851,0.070417,0.040596,0.013469,0.002870
2012-03-31,0.670000,0.004822,0.245658,0.097770,0.325811,0.166182,0.077262,1.134893,2.407350,0.729331,1.010349,0.659723,0.653240,0.896680,0.904696,0.166182,0.146493,0.124585,0.067835,0.038549,0.012701,0.002423
2012-04-30,0.680000,0.004363,0.245134,0.100388,0.326052,0.168087,0.080431,1.100503,2.407350,0.729331,1.016855,0.659336,0.649060,0.872558,0.886762,0.168087,0.148640,0.126934,0.070463,0.040391,0.013293,0.002800
2012-05-31,0.670000,0.004901,0.244949,0.097039,0.326018,0.165733,0.074537,1.134893,2.407350,0.729331,1.032558,0.656934,0.639189,0.857886,0.882694,0.165733,0.146075,0.124027,0.067123,0.038428,0.012798,0.002468
2012-06-30,0.670000,0.004864,0.242206,0.095076,0.324434,0.163883,0.071241,1.134893,2.407350,0.729331,1.043501,0.655145,0.632486,0.850287,0.881290,0.163883,0.144193,0.122119,0.065374,0.037716,0.012717,0.002445
