,Austria Debt,Belgium Debt,Cyprus Debt,Germany Debt,Estonia Debt,Spain Debt,Finland Debt,France Debt,Greece Debt,Croatia Debt,Ireland Debt,Italy Debt,Lithuania Debt,Luxembourg Debt,Latvia Debt,Malta Debt,Netherlands Debt,Portugal Debt,Slovenia Debt,Slovakia Debt,Austria MA-5,Belgium MA-5,Croatia MA-5,Cyprus MA-5,Estonia MA-5,Finland MA-5,France MA-5,Germany MA-5,Greece MA-5,Ireland MA-5,Italy MA-5,Latvia MA-5,Lithuania MA-5,Luxembourg MA-5,Malta MA-5,Netherlands MA-5,Portugal MA-5,Slovakia MA-5,Slovenia MA-5,Spain MA-5,Malta PDs,Austria PDs,Belgium PDs,Croatia PDs,Cyprus PDs,Spain PDs,Estonia PDs,Finland PDs,France PDs,Greece PDs,Germany PDs,Ireland PDs,Italy PDs,Latvia PDs,Lithuania PDs,Luxembourg PDs,Netherlands PDs,Portugal PDs,Slovakia PDs,Slovenia PDs,Austria Market Access,Belgium Market Access,Cyprus Market Access,Croatia Market Access,Estonia Market Access,Finland Market Access,France Market Access,Germany Market Access,Greece Market Access,Ireland Market Access,Italy Market Access,Latvia Market Access,Lithuania Market Access,Luxembourg Market Access,Malta Market Access,Netherlands Market Access,Portugal Market Access,Slovakia Market Access,Slovenia Market Access,Spain Market Access
2010-01,145669.0,254893.469,5546.0,931459.0,12.0,374322.0,49519.0,943196.0,270270.0,0.0,77515.427,1271427.018,,2000.0,,3224.184,205976.53,102264.5,12468.353,20068.094,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,5.741,0.7988,0.7185,0.645,1.3289,0.8151,0.0,0.0013,0.3581,23.6258,0.2109,0.8393,1.3867,1.0813,0.2297,0.0104,0.0421,2.5466,98.2333,0.3518,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-02,146781.0,258960.556,6490.0,949851.0,12.0,383281.0,49518.0,958767.0,278324.0,0.0,79608.311,1282065.375,,2000.0,,3262.164,216080.14,104210.0,12469.281,18616.318,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,45.3514,19.5087,0.7158,0.6498,1.3758,19.9948,0.0002,0.0015,12.1965,26.1466,0.23,22.1426,1.433,1.1688,0.2788,0.0113,2.0996,2.8226,98.1606,0.3657,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-03,148439.0,254886.877,6485.0,953138.0,12.0,394371.0,53518.0,980310.0,283171.0,0.0,80863.334,1287373.679,,2000.0,,3262.164,220613.81,105806.23,12601.891,19094.718,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,49.1445,22.1502,0.7726,17.483,25.311,23.2084,0.0003,0.086,14.5615,28.1479,8.7223,25.8404,26.793,19.6527,10.9403,0.0115,3.0382,34.7591,1.8951,12.1766,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-04,150939.0,258720.608,6478.0,958974.0,12.0,398341.0,55018.0,982405.0,279701.0,0.0,81518.509,1299168.421,,2000.0,,3262.164,224756.61,107664.73,12559.05,20300.218,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,53.6855,21.3341,0.9404,25.0799,31.3687,26.4703,0.0004,0.0821,17.048,33.3898,10.7494,42.052,32.6151,24.5298,15.9108,0.0182,4.8878,44.8467,1.9485,15.359,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
2010-05,153279.0,258603.077,6459.0,976871.0,12.0,404910.0,55020.0,1001023.0,271158.0,0.0,83267.92,1316870.08,,4000.0,,3412.3,233917.28,103822.29,12560.086,20644.229,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,47.0999,22.3927,1.2088,24.4847,34.2214,29.0206,0.0003,0.0874,18.6547,35.4386,11.5443,43.343,34.7307,26.0954,15.4423,0.0257,6.1343,47.8058,2.3265,16.8843,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
2010-06,155150.0,262295.353,6376.0,974975.0,12.0,413038.0,56520.0,1017032.0,271242.0,0.0,84747.103,1309194.042,,4000.0,,3369.637,239251.28,106525.92,12562.686,,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,46.5259,22.3179,1.2181,24.4174,35.4765,29.2363,0.0003,0.0903,18.0199,34.8009,11.4584,42.6728,34.6223,25.3308,17.3055,0.0242,5.9152,47.923,2.3233,16.7589,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
2010-07,156510.0,269936.718,6358.0,975341.0,12.0,410429.0,56520.0,1011101.0,271235.0,0.0,86578.149,1331892.376,,4000.0,,3368.368,231775.76,108108.66,12558.064,,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,40.6937,23.9587,1.3891,25.9215,39.9477,33.4502,0.0005,0.1199,18.5628,39.976,11.985,44.028,33.3297,36.9098,17.7534,0.0292,5.2971,47.5262,5.5908,16.9836,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
2010-08,157465.0,273496.267,6357.0,988787.0,12.0,413929.0,56495.0,1008417.0,271235.0,0.0,88110.659,1334100.779,,4000.0,,3547.613,231893.64,110872.06,12559.023,,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,45.2777,23.932,1.3352,25.8679,40.7392,32.5779,0.0005,0.0951,18.348,39.88,11.64,43.1297,32.8501,36.6659,18.1566,0.0274,5.2242,47.0632,5.0597,15.6304,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
2010-09,159517.0,260804.461,6341.0,989903.0,12.0,421240.0,55486.0,1014027.0,270505.0,0.0,89609.196,1332432.339,,4000.0,,3547.613,234693.34,113832.97,12560.286,21352.547,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,48.9091,23.3814,1.2198,26.0472,40.8837,31.2829,0.0005,0.0843,16.7757,38.3842,10.9254,42.4431,32.3806,27.0525,19.3635,0.0238,4.4984,46.6269,3.9358,13.1873,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
2010-10,161057.0,264022.194,6340.0,991248.0,12.0,429483.0,55106.0,1017455.0,270536.0,0.0,89580.51,1355497.185,,4000.0,,3547.613,237508.34,113832.97,12559.007,23627.047,275723.4,335657.2,43263.2,17315.8,14414.0,180114.8,1894356.9,2475472.0,222282.6,181819.0,1581695.5,18606.1,26735.3,36231.6,5763.3,608962.6,170963.2,54261.4,33744.8,1039212.2,42.3317,14.4184,0.4281,24.5527,35.6125,24.2038,0.0009,0.0809,8.7107,20.128,5.726,23.7137,24.7314,20.4268,24.5948,0.0075,2.2504,34.3693,0.6274,11.9485,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
